models,f1 score for train,f1 score val,time,method
ovr_LogisticRegression,0.402420575,0.386319471,0 days 00:00:35.172631,count
ovr_SVM,0.324622902,0.328947368,0 days 00:08:25.876023,count
ovr_Naive,0.426387678,0.42187866,0 days 00:00:00.443496,count
BinaryRelevance_LogisticRegression,0.402359364,0.384854369,0 days 00:01:42.726223,count
BinaryRelevance_SVM,0.324622902,0.328947368,0 days 00:08:06.632071,count
BinaryRelevance_Naive,0.426387678,0.42187866,0 days 00:00:00.375794,count
ClassifierChain_LogisticRegression,0.441689161,0.426573427,0 days 00:01:54.102020,count
ClassifierChain_SVM,0.403217961,0.391004498,0 days 00:07:24.288550,count
ClassifierChain_Naive,0.427000084,0.421673342,0 days 00:00:00.701959,count
LabelPowerset_LogisticRegression,0.427285714,0.406397258,0 days 00:01:00.009001,count
LabelPowerset_SVM,0.620794224,0.477289324,0 days 00:05:39.431846,count
LabelPowerset_Naive,0.498006083,0.458708095,0 days 00:00:01.647610,count
MultiOutputClassifier_LogisticRegression,0.402420575,0.386319471,0 days 00:00:33.032752,count
MultiOutputClassifier_SVM,0.324622902,0.328947368,0 days 00:07:59.886234,count
MultiOutputClassifier_Naive,0.426387678,0.42187866,0 days 00:00:00.249597,count
ovr_LogisticRegression,0.306195927,0.306996771,0 days 00:00:12.685392,tfidf
ovr_SVM,0.305948095,0.306864644,0 days 00:00:08.878980,tfidf
ovr_Naive,0.232526346,0.236044657,0 days 00:00:00.178243,tfidf
BinaryRelevance_LogisticRegression,0.306195927,0.306996771,0 days 00:00:19.082290,tfidf
BinaryRelevance_SVM,0.305948095,0.306864644,0 days 00:00:26.224988,tfidf
BinaryRelevance_Naive,0.232526346,0.236044657,0 days 00:00:00.335002,tfidf
ClassifierChain_LogisticRegression,0.325893022,0.32409192,0 days 00:00:29.038795,tfidf
ClassifierChain_SVM,0.320852405,0.318161334,0 days 00:00:25.307977,tfidf
ClassifierChain_Naive,0.242335106,0.24365942,0 days 00:00:00.507643,tfidf
LabelPowerset_LogisticRegression,0.350756069,0.335637019,0 days 00:00:51.874083,tfidf
LabelPowerset_SVM,0.350954864,0.335887036,0 days 00:01:01.439080,tfidf
LabelPowerset_Naive,0.349151394,0.354483798,0 days 00:00:01.602633,tfidf
MultiOutputClassifier_LogisticRegression,0.306195927,0.306996771,0 days 00:00:00.937032,tfidf
MultiOutputClassifier_SVM,0.305948095,0.306864644,0 days 00:00:08.126591,tfidf
MultiOutputClassifier_Naive,0.232526346,0.236044657,0 days 00:00:00.131003,tfidf
